codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
3300308,-43.913874083407144,-22.425788937503047,594.5220586061478,532.2000122070312,371.0,652.0,30.743936672669875,130,5.786606729667516,311.06844332745857
3300407,-44.18852835791815,-22.5060804940259,539.9260921915993,509.2869567871094,392.0,540.0,21.068973621892944,115,1.9666854833163196,302.58128110388066
3300456,-43.37647256035196,-22.730134846851318,82.5111568942666,23.44444465637207,7.0,45.0,5.622032699246541,18,51.70671176454811,371.0524749657226
3300506,-42.37318599964392,-22.199389973725697,381.7501368550584,789.927734375,571.0,855.0,47.22878860354531,83,44.93849506394146,408.8906110405464
3300605,-41.68244468994547,-21.124254473896332,589.7269944148138,341.3571472167969,67.0,787.0,43.753608365432804,126,52.289452123731046,416.31327847737026
3300704,-42.05625690822868,-22.709199694245267,424.5752019453794,11.452631950378418,0.0,48.0,3.96108678652699,95,109.88241875990937,467.29161097262687
3300803,-42.72824313175142,-22.516329646404973,968.9227353446186,302.6028747558594,5.0,1701.0,76.45440124390052,209,59.66508761496251,400.7246981959263
3300902,-41.91518526120447,-21.49747340954049,558.1071654921398,283.20001220703125,70.0,778.0,52.31707757992113,125,7.5705140891895715,413.02071062650595
3300936,-41.65009964870431,-22.19666699625918,305.4601185582578,25.97058868408203,4.0,62.0,3.861263784169814,68,60.33620047595348,471.898568041629
3300951,-43.25877800972836,-22.04457815900778,117.32602467481047,446.75,329.0,340.0,25.389224671798654,24,9.33087282080382,325.9679806842894
3301009,-41.403910980304936,-21.748110699755852,4000.067295629531,82.123291015625,0.0,1350.0,17.03478084243711,876,9.914361531811016,472.12461860528293
3301108,-42.333462383687205,-21.868681485925265,743.7741570891812,376.30865478515625,87.0,687.0,38.773750457475465,162,13.677904668680569,393.46322669588363
3301157,-41.50097788875534,-21.525496031215546,522.7341303769499,84.0862045288086,15.0,396.0,17.662937170970704,116,9.920703978199997,453.0225128926522
3301207,-42.56416424960012,-21.892954143350973,310.2788530830294,327.3432922363281,109.0,480.0,41.568900361728446,67,7.025157000321882,374.5300559742313
